zinc_id,smiles
ZINC000000003524,C[C@H]1CC2=C/C(=N/O)CC[C@H]2[C@H]2CC[C@]3(C)[C@H](C[C@H]4C[C@]43CO)[C@H]12
ZINC000000003551,N#Cc1cccc(Nc2cc(-c3c[nH]nc3-c3ccccn3)ccn2)c1
ZINC000000003558,N#Cc1ccc(C(=O)N[C@@H]2CCc3ccccc3C2)cn1
ZINC000000003589,COc1c(C(C)(C)C)cc(C=C2C(=O)C=CC2=O)cc1C(C)(C)C
ZINC000000003596,O=C1/C(=C/c2ccccc2O)Oc2c1ccc(O)c2O
ZINC000000003618,CC[C@]12CCc3cc(O)ccc3[C@@H]1CC(C)=CC2=O
ZINC000000003621,C[C@]12CC/C(=N/O)C[C@@H]1CCc1cc(O)ccc12
ZINC000000003683,CC(/C=C1/C(=O)N(c2ccccc2)[C@H]1c1ccccc1)=N/OCC(=O)O
ZINC000000003713,O=C1N[C@H](CS)C[C@H](C(=O)O)N1
ZINC000000003720,COc1cccc(/C=C/C(=O)CCC(=O)O)c1
ZINC000000003723,C=CCN(C1=NCCN1)c1c(Cl)cccc1Cl
ZINC000000003734,CC(C)=CCOc1cccn2c(CC#N)c(C)nc12
ZINC000000003787,Cc1cc(N2C=CC(=O)CC2)nn2cnnc12
ZINC000000003801,C[C@@H]1C[C@@H]2[C@H]3CCC(=O)[C@]3(C)CC[C@H]2[C@@]2(C)CCC(=O)C(O)=C12
ZINC000000003802,C=C(c1ccc(F)cc1)[C@](O)(Cn1cncn1)c1ccc(F)cc1
ZINC000000003820,COc1cc(C=C2C(=O)C=CC2=O)ccc1O
ZINC000000003821,C=C1[C@@H](n2ccc(N)nc2=O)O[C@@H](CO)[C@@H]1O
ZINC000000003823,CC(=O)C(C(=O)c1ccccc1)=C1SC=CS1
ZINC000000003838,C#C[C@@H](CN)c1cccc(O)c1
ZINC000000003856,Oc1ccccc1N=C1SCCS1
ZINC000000003867,CC(=O)N(O)[C@@H](C)c1ccc(OCc2ccccc2)cc1
ZINC000000003878,C=C1C(=O)O[C@@H]2[C@H]1CC[C@@H](C)[C@]1(O)C=CC(=O)[C@@]21C
ZINC000000003903,CCOC(=O)/C=C/c1cccc(CC2=CC(=O)C=CC2=O)c1
ZINC000000003927,C=CCn1c(=O)c2[nH]c(C3CCCC3)nc2n(CC=C)c1=O
ZINC000000003928,Cc1ccc([C@@H]2C[C@H]2NC2=C(C(=O)O)C(=O)CO2)cc1
ZINC000000003965,O=P(C[C@@H]1CO1)(C[C@@H]1CO1)C[C@@H]1CO1
ZINC000000003989,CCOC(=O)c1oc2c(c1C)C(=O)C(Cl)=C(Cl)C2=O
ZINC000000004023,CC1(C)Oc2ccc(C#N)cc2[C@H](OC2=CC(=O)CC2)[C@H]1O
ZINC000000004044,Cc1[nH]c(=O)c(C#N)cc1-c1ccc(C#N)cc1
ZINC000000004052,CC1=C2CC[C@@]3(C)[C@@H](O)CC[C@@H]3[C@@H]2C[C@H]2CCC(=O)C=C12
ZINC000000004057,C[C@@]12CCC(=O)C=C1C(=O)C[C@H]1[C@H]2CC[C@]2(C)C(=O)CC[C@@]12O
ZINC000000004066,CC(=O)N(O)[C@@H](C)/C=C/c1cccc(Oc2ccc(Cl)cc2)c1
ZINC000000004067,CC(=O)N(O)[C@@H](C)/C=C/c1cccc(Oc2ccccc2)c1
